"Data","Entrada 1","Saída 1","Entrada 2","Saída 2"
"01/05/2010","","","",""
"02/05/2010","","","",""
"03/05/2010","","","",""
"04/05/2010","","","",""
"05/05/2010","","","",""
"06/05/2010","","","",""
"07/05/2010","","","",""
"08/05/2010","","","",""
"09/05/2010","","","",""
"10/05/2010","","","",""
"11/05/2010","","","",""
"12/05/2010","","","",""
"13/05/2010","","","",""
"14/05/2010","","","",""
"15/05/2010","","","",""
"16/05/2010","","","",""
"17/05/2010","12:00","15:00","15:15","18:15"
"18/05/2010","09:00","12:00","13:00","18:00"
"19/05/2010","09:00","12:00","13:00","18:00"
"20/05/2010","09:00","12:00","13:00","18:00"
"21/05/2010","09:00","12:00","13:00","18:00"
"22/05/2010","","","",""
"23/05/2010","","","",""
"24/05/2010","09:17","13:00","14:00","18:03"
"25/05/2010","08:57","12:54","13:56","18:00"
"26/05/2010","08:56","12:54","13:57","17:58"
"27/05/2010","09:00","13:02","14:02","18:00"
"28/05/2010","08:00","12:03","13:04","17:01"
"29/05/2010","","","",""
"30/05/2010","","","",""
"31/05/2010","09:00","12:00","12:15","15:15"
"01/06/2010","10:36","14:00","14:15","16:52"
"02/06/2010","10:43","14:00","14:15","16:58"
"03/06/2010","","","",""
"04/06/2010","10:41","14:00","14:15","16:56"
"05/06/2010","","","",""
"06/06/2010","","","",""
"07/06/2010","10:41","14:00","14:15","16:56"
"08/06/2010","10:46","14:00","14:15","17:00"
"09/06/2010","10:39","14:00","14:15","16:55"
"10/06/2010","10:41","14:00","14:15","16:56"
"11/06/2010","10:36","14:00","14:15","16:52"
"12/06/2010","","","",""
"13/06/2010","","","",""
"14/06/2010","10:36","14:00","14:15","16:52"
"15/06/2010","08:01","11:01","11:16","14:16"
"16/06/2010","10:36","14:00","14:15","16:51"
"17/06/2010","10:45","14:00","14:15","17:01"
"18/06/2010","10:38","14:00","14:15","16:53"
"19/06/2010","","","",""
"20/06/2010","","","",""
"21/06/2010","10:39","14:00","14:15","16:54"
"22/06/2010","10:41","14:00","14:15","16:56"
"23/06/2010","10:40","14:00","14:15","16:55"
"24/06/2010","10:39","14:00","14:15","16:54"
"25/06/2010","07:50","10:37","13:29","16:42"
"26/06/2010","","","",""
"27/06/2010","","","",""
"28/06/2010","08:46","11:46","12:01","15:00"
"29/06/2010","10:39","14:00","14:15","16:54"
"30/06/2010","10:40","14:00","14:15","16:55"
"01/07/2010","09:51","13:00","13:15","16:07"
"02/07/2010","07:59","10:46","13:34","16:47"
"03/07/2010","","","",""
"04/07/2010","","","",""
"05/07/2010","09:58","13:00","13:15","16:14"
"06/07/2010","09:54","13:00","13:15","16:10"
"07/07/2010","09:53","13:00","13:15","16:08"
"08/07/2010","09:52","13:00","13:15","16:07"
"09/07/2010","","","",""
"10/07/2010","","","",""
"11/07/2010","","","",""
"12/07/2010","09:50","13:00","13:15","16:06"
"13/07/2010","09:50","13:00","13:15","16:06"
"14/07/2010","09:50","13:00","13:15","16:06"
"15/07/2010","09:50","13:00","13:15","16:06"
"16/07/2010","09:50","13:00","13:15","16:06"
"17/07/2010","","","",""
"18/07/2010","","","",""
"19/07/2010","09:51","13:00","13:15","16:06"
"20/07/2010","09:55","13:00","13:15","16:11"
"21/07/2010","09:56","13:00","13:15","16:12"
"22/07/2010","09:53","13:00","13:15","16:08"
"23/07/2010","09:51","13:00","13:15","16:08"
"24/07/2010","","","",""
"25/07/2010","","","",""
"26/07/2010","09:52","13:00","13:15","16:07"
"27/07/2010","09:50","13:00","13:15","16:06"
"28/07/2010","09:50","13:00","13:15","16:05"
"29/07/2010","09:51","13:00","13:15","16:06"
"30/07/2010","09:50","13:00","13:15","16:05"
"31/07/2010","","","",""
"01/08/2010","","","",""
"02/08/2010","09:01","13:00","13:15","15:59"
"03/08/2010","08:52","16:16","",""
"04/08/2010","08:48","16:11","",""
"05/08/2010","08:51","15:51","",""
"06/08/2010","","","",""
"07/08/2010","","","",""
"08/08/2010","","","",""
"09/08/2010","08:51","16:04","",""
"10/08/2010","08:51","11:51","12:06","15:49"
"11/08/2010","08:51","11:51","12:06","15:49"
"12/08/2010","08:51","11:51","12:06","15:49"
"13/08/2010","08:51","11:51","12:06","15:50"
"14/08/2010","","","",""
"15/08/2010","","","",""
"16/08/2010","09:50","13:00","13:15","16:05"
"17/08/2010","09:51","13:00","13:15","16:06"
"18/08/2010","09:55","13:00","13:15","16:10"
"19/08/2010","09:52","13:00","13:15","16:07"
"20/08/2010","09:52","13:00","13:15","16:07"
"21/08/2010","","","",""
"22/08/2010","","","",""
"23/08/2010","09:55","13:00","13:15","16:10"
"24/08/2010","09:55","13:00","13:15","16:10"
"25/08/2010","09:55","13:00","13:15","16:10"
"26/08/2010","09:50","13:00","13:15","16:06"
"27/08/2010","09:50","13:00","13:15","16:05"
"28/08/2010","","","",""
"29/08/2010","","","",""
"30/08/2010","09:51","13:00","13:15","16:06"
"31/08/2010","09:50","13:00","13:15","16:05"
"01/09/2010","09:50","13:00","13:15","16:05"
"02/09/2010","09:51","13:00","13:15","16:06"
"03/09/2010","08:52","11:52","12:07","15:42"
"04/09/2010","","","",""
"05/09/2010","","","",""
"06/09/2010","08:55","11:55","12:10","15:47"
"07/09/2010","08:55","15:53","11:55","12:10"
"09/09/2010","08:50","11:50","12:05","15:47"
"10/09/2010","08:55","11:55","12:10","15:51"
"11/09/2010","","","",""
"12/09/2010","","","",""
"13/09/2010","09:50","13:00","13:15","16:05"
"14/09/2010","09:51","13:00","13:15","16:06"
"15/09/2010","09:55","13:00","13:15","16:10"
"16/09/2010","09:50","13:00","13:15","16:05"
"17/09/2010","09:53","13:00","13:15","16:08"
"18/09/2010","","","",""
"19/09/2010","","","",""
"20/09/2010","09:52","13:00","13:15","16:07"
"21/09/2010","09:51","13:00","13:15","16:06"
"22/09/2010","09:52","13:00","13:15","16:07"
"23/09/2010","09:52","13:00","13:15","16:07"
"24/09/2010","09:54","13:00","13:15","16:09"
"25/09/2010","","","",""
"26/09/2010","","","",""
"27/09/2010","09:50","13:00","13:15","16:05"
"28/09/2010","09:50","13:00","13:15","16:05"
"29/09/2010","09:55","13:00","13:15","16:11"
"30/09/2010","09:50","13:00","13:15","16:05"
